"Index","Ticket","FixVersion","AffectedVersion"
"1","TAJO-649","0.2-incubating","0.2-incubating"
"2","TAJO-277","0.2-incubating","0.2-incubating"
"3","TAJO-277","0.8.0","0.2-incubating"
"4","TAJO-270","0.2-incubating","0.2-incubating"
"5","TAJO-270","0.8.0","0.2-incubating"
"6","TAJO-264","0.2-incubating","0.2-incubating"
"7","TAJO-262","0.2-incubating","0.2-incubating"
"8","TAJO-241","0.2-incubating","0.2-incubating"
"9","TAJO-198","0.2-incubating","0.2-incubating"
"10","TAJO-181","0.2-incubating","0.2-incubating"
"11","TAJO-179","0.2-incubating","0.2-incubating"
"12","TAJO-178","0.2-incubating","0.2-incubating"
"13","TAJO-158","0.2-incubating","0.2-incubating"
"14","TAJO-127","0.2-incubating","0.2-incubating"
"15","TAJO-120","0.2-incubating","0.2-incubating"
"16","TAJO-103","0.2-incubating","0.2-incubating"
"17","TAJO-41","0.2-incubating","0.2-incubating"
"18","TAJO-39","0.2-incubating","0.2-incubating"
"19","TAJO-37","0.2-incubating","0.2-incubating"
"20","TAJO-26","0.2-incubating","0.2-incubating"
"21","TAJO-21","0.2-incubating","0.2-incubating"
"22","TAJO-389","0.8.0","0.2-incubating"
"23","TAJO-332","0.8.0","0.2-incubating"
"24","TAJO-295","0.8.0","0.2-incubating"
"25","TAJO-293","0.8.0","0.2-incubating"
"26","TAJO-292","0.8.0","0.2-incubating"
"27","TAJO-772","0.8.0","0.8.0"
"28","TAJO-772","0.9.0","0.8.0"
"29","TAJO-768","0.8.0","0.8.0"
"30","TAJO-768","0.9.0","0.8.0"
"31","TAJO-765","0.8.0","0.8.0"
"32","TAJO-765","0.9.0","0.8.0"
"33","TAJO-763","0.8.0","0.8.0"
"34","TAJO-763","0.9.0","0.8.0"
"35","TAJO-759","0.8.0","0.8.0"
"36","TAJO-759","0.9.0","0.8.0"
"37","TAJO-755","0.8.0","0.8.0"
"38","TAJO-755","0.9.0","0.8.0"
"39","TAJO-754","0.8.0","0.8.0"
"40","TAJO-754","0.9.0","0.8.0"
"41","TAJO-753","0.8.0","0.8.0"
"42","TAJO-753","0.9.0","0.8.0"
"43","TAJO-752","0.8.0","0.8.0"
"44","TAJO-752","0.9.0","0.8.0"
"45","TAJO-748","0.8.0","0.8.0"
"46","TAJO-748","0.9.0","0.8.0"
"47","TAJO-747","0.8.0","0.8.0"
"48","TAJO-747","0.9.0","0.8.0"
"49","TAJO-745","0.8.0","0.8.0"
"50","TAJO-745","0.9.0","0.8.0"
"51","TAJO-743","0.8.0","0.8.0"
"52","TAJO-743","0.9.0","0.8.0"
"53","TAJO-741","0.8.0","0.8.0"
"54","TAJO-741","0.9.0","0.8.0"
"55","TAJO-737","0.8.0","0.8.0"
"56","TAJO-737","0.9.0","0.8.0"
"57","TAJO-728","0.8.0","0.8.0"
"58","TAJO-728","0.9.0","0.8.0"
"59","TAJO-719","0.8.0","0.8.0"
"60","TAJO-719","0.9.0","0.8.0"
"61","TAJO-718","0.8.0","0.8.0"
"62","TAJO-718","0.9.0","0.8.0"
"63","TAJO-716","0.8.0","0.8.0"
"64","TAJO-716","0.9.0","0.8.0"
"65","TAJO-707","0.8.0","0.8.0"
"66","TAJO-705","0.8.0","0.8.0"
"67","TAJO-705","0.9.0","0.8.0"
"68","TAJO-701","0.8.0","0.8.0"
"69","TAJO-701","0.9.0","0.8.0"
"70","TAJO-694","0.8.0","0.8.0"
"71","TAJO-694","0.9.0","0.8.0"
"72","TAJO-690","0.8.0","0.8.0"
"73","TAJO-690","0.9.0","0.8.0"
"74","TAJO-689","0.8.0","0.8.0"
"75","TAJO-689","0.9.0","0.8.0"
"76","TAJO-686","0.8.0","0.8.0"
"77","TAJO-686","0.9.0","0.8.0"
"78","TAJO-682","0.8.0","0.8.0"
"79","TAJO-682","0.9.0","0.8.0"
"80","TAJO-679","0.8.0","0.8.0"
"81","TAJO-672","0.8.0","0.8.0"
"82","TAJO-672","0.9.0","0.8.0"
"83","TAJO-663","0.8.0","0.8.0"
"84","TAJO-663","0.9.0","0.8.0"
"85","TAJO-659","0.8.0","0.8.0"
"86","TAJO-659","0.9.0","0.8.0"
"87","TAJO-657","0.8.0","0.8.0"
"88","TAJO-657","0.9.0","0.8.0"
"89","TAJO-655","0.8.0","0.8.0"
"90","TAJO-653","0.8.0","0.8.0"
"91","TAJO-653","0.9.0","0.8.0"
"92","TAJO-652","0.8.0","0.8.0"
"93","TAJO-652","0.9.0","0.8.0"
"94","TAJO-651","0.8.0","0.8.0"
"95","TAJO-651","0.9.0","0.8.0"
"96","TAJO-650","0.8.0","0.8.0"
"97","TAJO-650","0.9.0","0.8.0"
"98","TAJO-647","0.8.0","0.8.0"
"99","TAJO-647","0.9.0","0.8.0"
"100","TAJO-646","0.8.0","0.8.0"
"101","TAJO-645","0.8.0","0.8.0"
"102","TAJO-645","0.9.0","0.8.0"
"103","TAJO-644","0.8.0","0.8.0"
"104","TAJO-644","0.9.0","0.8.0"
"105","TAJO-642","0.8.0","0.8.0"
"106","TAJO-642","0.9.0","0.8.0"
"107","TAJO-641","0.8.0","0.8.0"
"108","TAJO-641","0.9.0","0.8.0"
"109","TAJO-640","0.8.0","0.8.0"
"110","TAJO-640","0.9.0","0.8.0"
"111","TAJO-638","0.8.0","0.8.0"
"112","TAJO-638","0.9.0","0.8.0"
"113","TAJO-635","0.8.0","0.8.0"
"114","TAJO-635","0.9.0","0.8.0"
"115","TAJO-632","0.8.0","0.8.0"
"116","TAJO-632","0.9.0","0.8.0"
"117","TAJO-630","0.8.0","0.8.0"
"118","TAJO-630","0.9.0","0.8.0"
"119","TAJO-628","0.8.0","0.8.0"
"120","TAJO-628","0.9.0","0.8.0"
"121","TAJO-620","0.8.0","0.8.0"
"122","TAJO-620","0.9.0","0.8.0"
"123","TAJO-616","0.8.0","0.8.0"
"124","TAJO-616","0.9.0","0.8.0"
"125","TAJO-608","0.8.0","0.8.0"
"126","TAJO-607","0.8.0","0.8.0"
"127","TAJO-606","0.8.0","0.8.0"
"128","TAJO-598","0.8.0","0.8.0"
"129","TAJO-594","0.8.0","0.8.0"
"130","TAJO-592","0.8.0","0.8.0"
"131","TAJO-590","0.8.0","0.8.0"
"132","TAJO-590","0.9.0","0.8.0"
"133","TAJO-588","0.8.0","0.8.0"
"134","TAJO-586","0.8.0","0.8.0"
"135","TAJO-582","0.8.0","0.8.0"
"136","TAJO-580","0.8.0","0.8.0"
"137","TAJO-578","0.8.0","0.8.0"
"138","TAJO-575","0.8.0","0.8.0"
"139","TAJO-563","0.8.0","0.8.0"
"140","TAJO-563","0.9.0","0.8.0"
"141","TAJO-558","0.8.0","0.8.0"
"142","TAJO-557","0.8.0","0.8.0"
"143","TAJO-556","0.8.0","0.8.0"
"144","TAJO-548","0.8.0","0.8.0"
"145","TAJO-545","0.8.0","0.8.0"
"146","TAJO-544","0.8.0","0.8.0"
"147","TAJO-537","0.8.0","0.8.0"
"148","TAJO-536","0.8.0","0.8.0"
"149","TAJO-535","0.8.0","0.8.0"
"150","TAJO-532","0.8.0","0.8.0"
"151","TAJO-531","0.8.0","0.8.0"
"152","TAJO-530","0.8.0","0.8.0"
"153","TAJO-529","0.8.0","0.8.0"
"154","TAJO-529","0.9.0","0.8.0"
"155","TAJO-526","0.8.0","0.8.0"
"156","TAJO-525","0.8.0","0.8.0"
"157","TAJO-522","0.8.0","0.8.0"
"158","TAJO-508","0.8.0","0.8.0"
"159","TAJO-506","0.8.0","0.8.0"
"160","TAJO-503","0.8.0","0.8.0"
"161","TAJO-502","0.8.0","0.8.0"
"162","TAJO-496","0.8.0","0.8.0"
"163","TAJO-492","0.8.0","0.8.0"
"164","TAJO-490","0.8.0","0.8.0"
"165","TAJO-480","0.8.0","0.8.0"
"166","TAJO-480","0.9.0","0.8.0"
"167","TAJO-469","0.8.0","0.8.0"
"168","TAJO-460","0.8.0","0.8.0"
"169","TAJO-450","0.8.0","0.8.0"
"170","TAJO-443","0.8.0","0.8.0"
"171","TAJO-433","0.8.0","0.8.0"
"172","TAJO-431","0.8.0","0.8.0"
"173","TAJO-428","0.8.0","0.8.0"
"174","TAJO-427","0.8.0","0.8.0"
"175","TAJO-427","0.9.0","0.8.0"
"176","TAJO-426","0.8.0","0.8.0"
"177","TAJO-423","0.8.0","0.8.0"
"178","TAJO-422","0.8.0","0.8.0"
"179","TAJO-405","0.8.0","0.8.0"
"180","TAJO-403","0.8.0","0.8.0"
"181","TAJO-402","0.8.0","0.8.0"
"182","TAJO-400","0.8.0","0.8.0"
"183","TAJO-384","0.8.0","0.8.0"
"184","TAJO-378","0.8.0","0.8.0"
"185","TAJO-378","0.9.0","0.8.0"
"186","TAJO-377","0.8.0","0.8.0"
"187","TAJO-377","0.9.0","0.8.0"
"188","TAJO-369","0.8.0","0.8.0"
"189","TAJO-364","0.8.0","0.8.0"
"190","TAJO-361","0.8.0","0.8.0"
"191","TAJO-359","0.8.0","0.8.0"
"192","TAJO-356","0.8.0","0.8.0"
"193","TAJO-356","0.9.0","0.8.0"
"194","TAJO-338","0.8.0","0.8.0"
"195","TAJO-336","0.8.0","0.8.0"
"196","TAJO-329","0.8.0","0.8.0"
"197","TAJO-327","0.8.0","0.8.0"
"198","TAJO-325","0.8.0","0.8.0"
"199","TAJO-321","0.8.0","0.8.0"
"200","TAJO-320","0.8.0","0.8.0"
"201","TAJO-318","0.8.0","0.8.0"
"202","TAJO-313","0.8.0","0.8.0"
"203","TAJO-306","0.8.0","0.8.0"
"204","TAJO-301","0.8.0","0.8.0"
"205","TAJO-300","0.8.0","0.8.0"
"206","TAJO-297","0.8.0","0.8.0"
"207","TAJO-289","0.8.0","0.8.0"
"208","TAJO-284","0.8.0","0.8.0"
"209","TAJO-218","0.8.0","0.8.0"
"210","TAJO-218","0.9.0","0.8.0"
"211","TAJO-215","0.8.0","0.8.0"
"212","TAJO-215","0.9.0","0.8.0"
"213","TAJO-132","0.8.0","0.8.0"
"214","TAJO-750","0.8.0","0.9.0"
"215","TAJO-750","0.9.0","0.9.0"
"216","TAJO-1099","0.9.0","0.8.0"
"217","TAJO-1072","0.9.0","0.8.0"
"218","TAJO-1071","0.9.0","0.8.0"
"219","TAJO-1000","0.9.0","0.8.0"
"220","TAJO-953","0.9.0","0.8.0"
"221","TAJO-908","0.9.0","0.8.0"
"222","TAJO-902","0.9.0","0.8.0"
"223","TAJO-873","0.9.0","0.8.0"
"224","TAJO-852","0.9.0","0.8.0"
"225","TAJO-846","0.9.0","0.8.0"
"226","TAJO-797","0.9.0","0.8.0"
"227","TAJO-795","0.9.0","0.8.0"
"228","TAJO-795","0.8.1","0.8.0"
"229","TAJO-668","0.9.0","0.8.0"
"230","TAJO-1116","0.9.0","0.9.0"
"231","TAJO-1110","0.9.0","0.9.0"
"232","TAJO-1103","0.9.0","0.9.0"
"233","TAJO-1102","0.9.0","0.9.0"
"234","TAJO-1097","0.9.0","0.9.0"
"235","TAJO-1096","0.9.0","0.9.0"
"236","TAJO-1075","0.9.0","0.9.0"
"237","TAJO-1074","0.9.0","0.9.0"
"238","TAJO-1069","0.9.0","0.9.0"
"239","TAJO-1056","0.9.0","0.9.0"
"240","TAJO-1054","0.9.0","0.9.0"
"241","TAJO-1040","0.9.0","0.9.0"
"242","TAJO-1029","0.9.0","0.9.0"
"243","TAJO-995","0.9.0","0.9.0"
"244","TAJO-989","0.9.0","0.9.0"
"245","TAJO-985","0.9.0","0.9.0"
"246","TAJO-879","0.9.0","0.9.0"
"247","TAJO-869","0.9.0","0.9.0"
"248","TAJO-861","0.9.0","0.9.0"
"249","TAJO-847","0.9.0","0.9.0"
"250","TAJO-778","0.9.0","0.9.0"
"251","TAJO-769","0.9.0","0.9.0"
"252","TAJO-715","0.9.0","0.9.0"
"253","TAJO-704","0.9.0","0.9.0"
"254","TAJO-648","0.9.0","0.9.0"
"255","TAJO-602","0.9.0","0.9.0"
"256","TAJO-875","0.8.1","0.8.1"
"257","TAJO-1325","0.10.0","0.8.0"
"258","TAJO-1325","0.11.0","0.8.0"
"259","TAJO-1279","0.10.0","0.8.0"
"260","TAJO-1250","0.10.0","0.8.0"
"261","TAJO-1205","0.10.0","0.8.0"
"262","TAJO-1119","0.10.0","0.8.0"
"263","TAJO-1309","0.10.0","0.9.0"
"264","TAJO-1289","0.10.0","0.9.0"
"265","TAJO-1259","0.10.0","0.9.0"
"266","TAJO-1258","0.10.0","0.9.0"
"267","TAJO-1254","0.10.0","0.9.0"
"268","TAJO-1251","0.10.0","0.9.0"
"269","TAJO-1200","0.10.0","0.9.0"
"270","TAJO-1197","0.10.0","0.9.0"
"271","TAJO-1190","0.10.0","0.9.0"
"272","TAJO-1162","0.10.0","0.9.0"
"273","TAJO-1138","0.10.0","0.9.0"
"274","TAJO-1064","0.10.0","0.9.0"
"275","TAJO-1063","0.10.0","0.9.0"
"276","TAJO-1003","0.10.0","0.9.0"
"277","TAJO-1181","0.10.0","0.8.1"
"278","TAJO-1356","0.10.0","0.10.0"
"279","TAJO-1356","0.11.0","0.10.0"
"280","TAJO-1336","0.10.0","0.10.0"
"281","TAJO-1324","0.10.0","0.10.0"
"282","TAJO-1324","0.11.0","0.10.0"
"283","TAJO-1323","0.10.0","0.10.0"
"284","TAJO-1322","0.10.0","0.10.0"
"285","TAJO-1321","0.10.0","0.10.0"
"286","TAJO-1318","0.10.0","0.10.0"
"287","TAJO-1317","0.10.0","0.10.0"
"288","TAJO-1313","0.10.0","0.10.0"
"289","TAJO-1312","0.10.0","0.10.0"
"290","TAJO-1308","0.10.0","0.10.0"
"291","TAJO-1304","0.10.0","0.10.0"
"292","TAJO-1303","0.10.0","0.10.0"
"293","TAJO-1293","0.10.0","0.10.0"
"294","TAJO-1286","0.10.0","0.10.0"
"295","TAJO-1244","0.10.0","0.10.0"
"296","TAJO-1242","0.10.0","0.10.0"
"297","TAJO-1237","0.10.0","0.10.0"
"298","TAJO-1236","0.10.0","0.10.0"
"299","TAJO-1235","0.10.0","0.10.0"
"300","TAJO-1210","0.10.0","0.10.0"
"301","TAJO-1208","0.10.0","0.10.0"
"302","TAJO-1199","0.10.0","0.10.0"
"303","TAJO-1184","0.10.0","0.10.0"
"304","TAJO-1825","0.11.0","0.8.0"
"305","TAJO-1825","0.12.0","0.8.0"
"306","TAJO-1743","0.11.0","0.8.0"
"307","TAJO-1383","0.11.0","0.8.0"
"308","TAJO-1146","0.11.0","0.8.0"
"309","TAJO-1869","0.11.0","0.9.0"
"310","TAJO-1869","0.12.0","0.9.0"
"311","TAJO-1736","0.11.0","0.9.0"
"312","TAJO-1651","0.11.0","0.9.0"
"313","TAJO-1569","0.11.0","0.9.0"
"314","TAJO-1564","0.11.0","0.9.0"
"315","TAJO-1564","0.10.1","0.9.0"
"316","TAJO-1538","0.11.0","0.9.0"
"317","TAJO-1538","0.10.1","0.9.0"
"318","TAJO-1497","0.11.0","0.9.0"
"319","TAJO-1482","0.11.0","0.9.0"
"320","TAJO-1369","0.11.0","0.9.0"
"321","TAJO-1830","0.11.0","0.10.0"
"322","TAJO-1830","0.12.0","0.10.0"
"323","TAJO-1777","0.11.0","0.10.0"
"324","TAJO-1777","0.12.0","0.10.0"
"325","TAJO-1776","0.11.0","0.10.0"
"326","TAJO-1776","0.12.0","0.10.0"
"327","TAJO-1775","0.11.0","0.10.0"
"328","TAJO-1775","0.12.0","0.10.0"
"329","TAJO-1738","0.11.0","0.10.0"
"330","TAJO-1738","0.12.0","0.10.0"
"331","TAJO-1697","0.11.0","0.10.0"
"332","TAJO-1622","0.11.0","0.10.0"
"333","TAJO-1620","0.11.0","0.10.0"
"334","TAJO-1586","0.11.0","0.10.0"
"335","TAJO-1586","0.10.1","0.10.0"
"336","TAJO-1580","0.11.0","0.10.0"
"337","TAJO-1580","0.10.1","0.10.0"
"338","TAJO-1576","0.11.0","0.10.0"
"339","TAJO-1576","0.10.1","0.10.0"
"340","TAJO-1575","0.11.0","0.10.0"
"341","TAJO-1568","0.11.0","0.10.0"
"342","TAJO-1568","0.10.1","0.10.0"
"343","TAJO-1567","0.11.0","0.10.0"
"344","TAJO-1567","0.10.1","0.10.0"
"345","TAJO-1560","0.11.0","0.10.0"
"346","TAJO-1560","0.10.1","0.10.0"
"347","TAJO-1559","0.11.0","0.10.0"
"348","TAJO-1559","0.10.1","0.10.0"
"349","TAJO-1534","0.11.0","0.10.0"
"350","TAJO-1534","0.10.1","0.10.0"
"351","TAJO-1530","0.11.0","0.10.0"
"352","TAJO-1522","0.11.0","0.10.0"
"353","TAJO-1522","0.10.1","0.10.0"
"354","TAJO-1512","0.11.0","0.10.0"
"355","TAJO-1512","0.10.1","0.10.0"
"356","TAJO-1501","0.11.0","0.10.0"
"357","TAJO-1501","0.10.1","0.10.0"
"358","TAJO-1486","0.11.0","0.10.0"
"359","TAJO-1465","0.11.0","0.10.0"
"360","TAJO-1464","0.11.0","0.10.0"
"361","TAJO-1440","0.11.0","0.10.0"
"362","TAJO-1440","0.10.1","0.10.0"
"363","TAJO-1439","0.11.0","0.10.0"
"364","TAJO-1439","0.10.1","0.10.0"
"365","TAJO-1437","0.11.0","0.10.0"
"366","TAJO-1437","0.10.1","0.10.0"
"367","TAJO-1434","0.11.0","0.10.0"
"368","TAJO-1434","0.10.1","0.10.0"
"369","TAJO-1400","0.11.0","0.10.0"
"370","TAJO-1400","0.10.1","0.10.0"
"371","TAJO-1147","0.11.0","0.10.0"
"372","TAJO-1147","0.10.1","0.10.0"
"373","TAJO-1076","0.11.0","0.10.0"
"374","TAJO-1928","0.11.0","0.11.0"
"375","TAJO-1928","0.12.0","0.11.0"
"376","TAJO-1926","0.11.0","0.11.0"
"377","TAJO-1924","0.11.0","0.11.0"
"378","TAJO-1924","0.12.0","0.11.0"
"379","TAJO-1917","0.11.0","0.11.0"
"380","TAJO-1902","0.11.0","0.11.0"
"381","TAJO-1902","0.12.0","0.11.0"
"382","TAJO-1901","0.11.0","0.11.0"
"383","TAJO-1901","0.12.0","0.11.0"
"384","TAJO-1884","0.11.0","0.11.0"
"385","TAJO-1884","0.12.0","0.11.0"
"386","TAJO-1870","0.11.0","0.11.0"
"387","TAJO-1870","0.12.0","0.11.0"
"388","TAJO-1851","0.11.0","0.11.0"
"389","TAJO-1851","0.12.0","0.11.0"
"390","TAJO-1829","0.11.0","0.11.0"
"391","TAJO-1829","0.12.0","0.11.0"
"392","TAJO-1810","0.11.0","0.11.0"
"393","TAJO-1810","0.12.0","0.11.0"
"394","TAJO-1799","0.11.0","0.11.0"
"395","TAJO-1799","0.12.0","0.11.0"
"396","TAJO-1783","0.11.0","0.11.0"
"397","TAJO-1782","0.11.0","0.11.0"
"398","TAJO-1781","0.11.0","0.11.0"
"399","TAJO-1779","0.11.0","0.11.0"
"400","TAJO-1779","0.12.0","0.11.0"
"401","TAJO-1695","0.11.0","0.11.0"
"402","TAJO-1650","0.11.0","0.11.0"
"403","TAJO-1593","0.11.0","0.11.0"
"404","TAJO-1541","0.11.0","0.11.0"
"405","TAJO-1468","0.11.0","0.11.0"
"406","TAJO-1405","0.11.0","0.11.0"
"407","TAJO-1395","0.11.0","0.11.0"
"408","TAJO-1395","0.10.1","0.11.0"
"409","TAJO-1392","0.11.0","0.11.0"
"410","TAJO-1368","0.11.0","0.11.0"
"411","TAJO-1365","0.11.0","0.11.0"
"412","TAJO-1357","0.11.0","0.11.0"
"413","TAJO-1351","0.11.0","0.11.0"
"414","TAJO-1338","0.11.0","0.11.0"
"415","TAJO-1337","0.11.0","0.11.0"
"416","TAJO-1135","0.11.0","0.11.0"
"417","TAJO-1918","0.11.0","0.10.1"
"418","TAJO-1903","0.11.0","0.10.1"
"419","TAJO-1903","0.12.0","0.10.1"
"420","TAJO-1826","0.11.0","0.10.1"
"421","TAJO-1815","0.11.0","0.10.1"
"422","TAJO-1796","0.11.0","0.10.1"
"423","TAJO-1741","0.11.0","0.10.1"
"424","TAJO-1741","0.12.0","0.10.1"
"425","TAJO-1717","0.11.0","0.10.1"
"426","TAJO-1619","0.10.1","0.10.0"
"427","TAJO-1438","0.10.1","0.10.0"
"428","TAJO-1411","0.10.1","0.10.1"
"429","TAJO-2000","0.12.0","0.8.0"
"430","TAJO-2000","0.11.1","0.8.0"
"431","TAJO-858","0.12.0","0.8.0"
"432","TAJO-858","0.11.2","0.8.0"
"433","TAJO-1983","0.12.0","0.9.0"
"434","TAJO-1983","0.11.1","0.9.0"
"435","TAJO-1271","0.12.0","0.9.0"
"436","TAJO-1271","0.11.1","0.9.0"
"437","TAJO-2143","0.12.0","0.10.0"
"438","TAJO-2143","0.11.3","0.10.0"
"439","TAJO-2077","0.12.0","0.10.0"
"440","TAJO-2077","0.11.2","0.10.0"
"441","TAJO-1954","0.12.0","0.10.0"
"442","TAJO-1954","0.11.1","0.10.0"
"443","TAJO-2142","0.12.0","0.11.0"
"444","TAJO-2142","0.11.3","0.11.0"
"445","TAJO-2140","0.12.0","0.11.0"
"446","TAJO-2140","0.11.3","0.11.0"
"447","TAJO-2135","0.12.0","0.11.0"
"448","TAJO-2135","0.11.3","0.11.0"
"449","TAJO-2130","0.12.0","0.11.0"
"450","TAJO-2110","0.12.0","0.11.0"
"451","TAJO-2110","0.11.3","0.11.0"
"452","TAJO-2100","0.12.0","0.11.0"
"453","TAJO-2100","0.11.2","0.11.0"
"454","TAJO-2082","0.12.0","0.11.0"
"455","TAJO-2082","0.11.2","0.11.0"
"456","TAJO-2081","0.12.0","0.11.0"
"457","TAJO-2081","0.11.2","0.11.0"
"458","TAJO-2064","0.12.0","0.11.0"
"459","TAJO-2060","0.12.0","0.11.0"
"460","TAJO-2060","0.11.1","0.11.0"
"461","TAJO-2052","0.12.0","0.11.0"
"462","TAJO-2048","0.12.0","0.11.0"
"463","TAJO-2048","0.11.1","0.11.0"
"464","TAJO-2040","0.12.0","0.11.0"
"465","TAJO-2040","0.11.1","0.11.0"
"466","TAJO-2038","0.12.0","0.11.0"
"467","TAJO-2038","0.11.1","0.11.0"
"468","TAJO-2025","0.12.0","0.11.0"
"469","TAJO-2025","0.11.1","0.11.0"
"470","TAJO-2021","0.12.0","0.11.0"
"471","TAJO-2016","0.12.0","0.11.0"
"472","TAJO-2016","0.11.1","0.11.0"
"473","TAJO-2014","0.12.0","0.11.0"
"474","TAJO-2014","0.11.1","0.11.0"
"475","TAJO-2013","0.12.0","0.11.0"
"476","TAJO-2013","0.11.1","0.11.0"
"477","TAJO-2010","0.12.0","0.11.0"
"478","TAJO-2010","0.11.1","0.11.0"
"479","TAJO-1998","0.12.0","0.11.0"
"480","TAJO-1998","0.11.1","0.11.0"
"481","TAJO-1997","0.12.0","0.11.0"
"482","TAJO-1966","0.12.0","0.11.0"
"483","TAJO-1966","0.11.1","0.11.0"
"484","TAJO-1965","0.12.0","0.11.0"
"485","TAJO-1965","0.11.1","0.11.0"
"486","TAJO-1964","0.12.0","0.11.0"
"487","TAJO-1964","0.11.1","0.11.0"
"488","TAJO-1793","0.12.0","0.11.0"
"489","TAJO-1793","0.11.2","0.11.0"
"490","TAJO-1753","0.12.0","0.11.0"
"491","TAJO-1753","0.11.1","0.11.0"
"492","TAJO-1935","0.12.0","0.10.1"
"493","TAJO-1935","0.11.1","0.10.1"
"494","TAJO-2189","0.12.0","0.12.0"
"495","TAJO-2188","0.12.0","0.12.0"
"496","TAJO-2168","0.12.0","0.12.0"
"497","TAJO-2168","0.11.4","0.12.0"
"498","TAJO-2066","0.12.0","0.12.0"
"499","TAJO-2066","0.11.1","0.12.0"
"500","TAJO-2062","0.12.0","0.12.0"
"501","TAJO-2037","0.12.0","0.12.0"
"502","TAJO-2037","0.11.1","0.12.0"
"503","TAJO-2004","0.12.0","0.12.0"
"504","TAJO-1922","0.12.0","0.12.0"
"505","TAJO-1896","0.12.0","0.12.0"
"506","TAJO-2107","0.12.0","0.11.1"
"507","TAJO-2107","0.11.2","0.11.1"
"508","TAJO-2092","0.12.0","0.11.1"
"509","TAJO-2092","0.11.2","0.11.1"
"510","TAJO-2073","0.12.0","0.11.1"
"511","TAJO-2073","0.11.2","0.11.1"
"512","TAJO-2072","0.12.0","0.11.1"
"513","TAJO-2072","0.11.1","0.11.1"
"514","TAJO-2036","0.12.0","0.11.1"
"515","TAJO-2036","0.11.1","0.11.1"
"516","TAJO-2032","0.12.0","0.11.1"
"517","TAJO-2032","0.11.1","0.11.1"
"518","TAJO-2001","0.12.0","0.11.1"
"519","TAJO-2001","0.11.1","0.11.1"
"520","TAJO-2159","0.12.0","0.11.2"
"521","TAJO-2156","0.12.0","0.11.2"
"522","TAJO-2155","0.12.0","0.11.2"
"523","TAJO-2145","0.12.0","0.11.2"
"524","TAJO-2145","0.11.3","0.11.2"
"525","TAJO-2125","0.12.0","0.11.2"
"526","TAJO-2085","0.12.0","0.11.2"
"527","TAJO-2085","0.11.2","0.11.2"
"528","TAJO-2185","0.12.0","0.11.3"
"529","TAJO-2177","0.12.0","0.11.3"
"530","TAJO-2177","0.11.4","0.11.3"
"531","TAJO-2176","0.12.0","0.11.3"
"532","TAJO-2160","0.12.0","0.11.3"
"533","TAJO-2158","0.12.0","0.11.3"
"534","TAJO-2029","0.11.1","0.11.1"
"535","TAJO-1989","0.11.1","0.11.1"
"536","TAJO-1544","0.11.1","0.11.1"
"537","TAJO-2093","0.11.2","0.12.0"
"538","TAJO-2162","0.11.4","0.11.3"
"539","TAJO-1420","0.13.0","0.10.0"
"540","TAJO-2141","0.13.0","0.11.0"
"541","TAJO-1925","0.13.0","0.11.0"
"542","TAJO-1718","0.13.0","0.10.1"
"543","TAJO-1891","0.13.0","0.12.0"
"544","TAJO-2147","0.13.0","0.11.3"
